Date,Opponent_City,Opponent,Home_Away,Score,Opponent_Score,Diff_g2g,Duke Johnson,Deshaun Watson,Darren Fells,Jordan Akins,Carlos Hyde,DeAndre Hopkins,"""Kaimi Fairbairn"""
9/9/19 6:10 PM,New Orleans,Saints,a,28,30,,-,-,-,-,-,-,-
9/15/19 12:00 PM,Jacksonville,Jaguars,h,13,12,-15,d,dd,u,u,d,dd,u
9/22/19 3:25 PM,Los Angeles,Chargers,a,20,27,7,u,uu,uu,uu,d,u,d
9/29/19 12:00 PM,Carolina,Panthers,h,10,16,-10,u,dd,dd,dd,u,d,u
10/6/19 12:00 PM,Atlanta,Falcons,h,53,32,43,d,uu,uu,d,u,u,uu
10/13/19 12:00 PM,Kansas City,Chiefs,a,31,24,-22,u,dd,d,u,u,u,d
10/20/19 12:00 PM,Indianapolis,Colts,a,23,30,-8,d,dd,dd,d,dd,u,u
10/27/19 12:00 PM,Oakland,Raiders,h,27,24,4,uu,uu,uu,d,u,d,d
11/3/19 8:30 AM,Jacksonville,Jaguars,a,26,3,-1,uu,d,dd,u,u,d,e
11/17/19 12:00 PM,Baltimore,Ravens,a,7,41,-19,dd,dd,d,d,d,d,dd
11/21/19 7:20 PM,Indianapolis,Colts,h,20,17,13,d,uu,u,u,d,uu,u
12/1/19 7:20 PM,New England,Patriots,h,28,22,8,uu,uu,u,d,d,dd,d
