id,date,user,urls,hash_tags,at_tags
1191745965105045504,2019-11-5,espn975,['https://t.co/sqJTJxBsIl'],['Texans'],[]
1191722977404035073,2019-11-5,PinkValkyrie,['https://t.co/ke2JlOsJKn'],"['Texans', 'NFL', 'EveryThingSports']",['@The_Jermaine:']
1191714292426530816,2019-11-5,JoeM709,['https://t.co/ke2JlOsJKn'],"['Texans', 'NFL', 'EveryThingSports']",['@The_Jermaine:']
1191710485126766593,2019-11-5,BlackSundayTxns,['https://t.co/ke2JlOsJKn'],"['Texans', 'NFL', 'EveryThingSports']",['@The_Jermaine:']
1191706901601562630,2019-11-5,The_Jermaine,['https://t.co/ke2JlOsJKn'],"['Texans', 'NFL', 'EveryThingSports']",[]
1191416480036016128,2019-11-4,SportsHustles,['https://t.co/xxoMRoFBc3'],"['Astros', 'Texans', 'Rockets', 'AJHinch…']",[]
1193900170078932993,2019-11-11,Jimbo7816,['https://t.co/0mKiKtlL4H'],[],"['@robertsells13', '@packrfan4', '@Repugnantclowns', '@josephperson']"
1198378802759557121,2019-11-23,hrblock_21,['https://t.c…'],['Texans'],['@pfrumors:']
1198342374881148929,2019-11-23,ltf_ty,['https://t.c…'],['Texans'],['@pfrumors:']
1198337897507803142,2019-11-23,pfrumors,['https://t.co/TKHg7h3Xnk'],['Texans'],[]
1196694620132061185,2019-11-19,Colts_TT,['https://t.co/gkGRGTmWSo'],['IndianapolisColts'],[]
1196620337108209667,2019-11-19,UpdatesColts,['https://t.co/yxrDvYwzUr'],[],['@TheColtsWire:']
1196608878814908416,2019-11-19,ginambeam,['https://t.co/yxrDvYwzUr'],[],['@TheColtsWire:']
1196608752704774144,2019-11-19,TheColtsWire,['https://t.co/yxrDvYwzUr'],[],[]
1196261390845132806,2019-11-18,verityweekly,['https://t.co/kgtc7cgqpr'],[],[]
1196192983151980544,2019-11-17,MorrisBai_,['https://t.co/GSMWeQ5BCq'],[],[]
1196161788418637825,2019-11-17,airgroves,[],[],['@LopezOnSports']
1200324875115810816,2019-11-29,TimP103,['https://t.co/oM1eCUu3qd'],[],[]
1200086820928622592,2019-11-28,STERLING9798,['https://t.co/LWAa7aTgxl'],[],[]
1200023580542676993,2019-11-28,monkey_viral,['https://t.co/CuuJZ5RnkI'],['As'],[]
1199968219286687745,2019-11-28,SVOFL,['https://t.co/0AnAxuMPrK'],"['NFL', 'football']",[]
1199961952556109824,2019-11-28,100UBF,['https://t.co/s4hmXT5q2C'],[],[]
1199961736335560706,2019-11-28,Sportsgriduk,['https://t.co/9u9b6Hc933'],[],[]
