,created_at,neg,neu,pos,label
0,2019-11-30 23:52:17+00:00,0.0,1.0,0.0,28.9
1,2019-11-30 23:51:08+00:00,0.0,0.584,0.416,28.9
2,2019-11-30 23:48:19+00:00,0.0,1.0,0.0,28.9
3,2019-11-30 23:47:43+00:00,0.0,0.863,0.137,28.9
4,2019-11-30 23:42:01+00:00,0.0,0.878,0.122,28.9
5,2019-11-30 23:41:31+00:00,0.0,1.0,0.0,28.9
6,2019-11-30 23:39:05+00:00,0.252,0.48,0.268,28.9
7,2019-11-30 23:38:15+00:00,0.0,1.0,0.0,28.9
8,2019-11-30 23:37:57+00:00,0.0,1.0,0.0,28.9
9,2019-11-30 23:36:30+00:00,0.044,0.884,0.072,28.9
10,2019-11-30 23:36:11+00:00,0.233,0.519,0.248,28.9
11,2019-11-30 23:34:52+00:00,0.0,1.0,0.0,28.9
12,2019-11-30 23:33:31+00:00,0.233,0.519,0.248,28.9
13,2019-11-30 23:33:00+00:00,0.203,0.541,0.257,28.9
14,2019-11-30 23:32:22+00:00,0.0,0.619,0.381,28.9
15,2019-11-30 23:31:26+00:00,0.232,0.368,0.401,28.9
16,2019-11-30 23:31:09+00:00,0.252,0.48,0.268,28.9
17,2019-11-30 23:30:26+00:00,0.0,1.0,0.0,28.9
18,2019-11-30 23:30:04+00:00,0.242,0.5,0.258,28.9
19,2019-11-30 23:30:03+00:00,0.0,1.0,0.0,28.9
20,2019-11-30 23:27:24+00:00,0.0,1.0,0.0,28.9
21,2019-11-30 23:27:07+00:00,0.0,0.828,0.172,28.9
22,2019-11-30 23:22:09+00:00,0.0,1.0,0.0,28.9
23,2019-11-30 23:21:27+00:00,0.0,0.726,0.274,28.9
24,2019-11-30 23:21:08+00:00,0.044,0.884,0.072,28.9
25,2019-11-30 23:18:48+00:00,0.27,0.73,0.0,28.9
26,2019-11-30 23:17:52+00:00,0.0,0.828,0.172,28.9
27,2019-11-30 23:15:33+00:00,0.252,0.48,0.268,28.9
28,2019-11-30 23:14:55+00:00,0.0,0.878,0.122,28.9
29,2019-11-30 23:13:57+00:00,0.233,0.519,0.248,28.9
30,2019-11-30 23:12:32+00:00,0.0,0.703,0.297,28.9
31,2019-11-30 23:09:58+00:00,0.238,0.509,0.253,28.9
32,2019-11-30 23:07:34+00:00,0.242,0.5,0.258,28.9
33,2019-11-30 23:05:10+00:00,0.058,0.769,0.173,28.9
