	published_at	player_name	title	description	label
0	2019-11-17 16:03:04+00:00	Duke Johnson	Source -- Pick Browns received in Duke Johnson trade to become 3rd-rounder - ESPN	Source -- Pick Browns received in Duke Johnson trade to become 3rd-rounder ESPN Texans at Ravens final score: Lamar Jackson headlines Baltimore's beatdown of Houston CBSSports.com Seth Roberts Goes UP for Lamar's TD Pass! NFL Ranking Lamar Jackson’s 2019 perf…	dd
1	2019-11-03 17:42:13+00:00	Duke Johnson	Houston Texans 26-3 Jacksonville Jaguars: Texans win last London game of 2019	The Houston Texans rounded off this year's NFL London Series with a 26-3 win over the Jacksonville Jaguars in front of 84,771 at Wembley.	dd
2	2019-11-17 17:53:00+00:00	Duke Johnson	The Latest: Don Shula shows up for Dolphins game vs. Bills	The Cleveland Browns have upgraded their draft position courtesy of their trade of running back Duke Johnson to the Houston Texans	dd
3	2019-11-21 15:00:01+00:00	Duke Johnson	Week 12 NFL Picks: Prop Bets Advice, Vegas Odds, Spreads and Predictions	With Week 12 here, the  NFL  playoff race is really beginning to heat up. Of the league's eight division-leaders, five hold a lead of one win or fewer heading into the weekend...	d
4	2019-11-17 17:05:35+00:00	Duke Johnson	Browns will get 2020 third-round pick in Duke Johnson trade	The Texans acquired running back Duke Johnson in a trade with the Browns this summer and the compensation was conditional on Johnson’s roster status over the course of the season. The Browns would have received a 2020 fourth-round pick if Johnson was active f…	dd
5	2019-11-03 17:25:02+00:00	Duke Johnson	Duke Johnson slams Jaguars defender at goal-line for TD	Houston Texans running back Duke Johnson rushes for a 1-yard touchdown vs. the Jacksonville Jaguars. This game is streaming live on the Yahoo Sports mobile app, or on NFL NETWORK	dd
6	2019-11-22 17:27:40+00:00	Duke Johnson	Charlie Kaufman Releasing Debut Novel About a Failed Film Critic – First Details	"Details for Kaufman's first novel, ""Antkind,"" have been revealed by Entertainment Weekly, and of course it's described as an ""epic mind-f**k."""	uu
7	2019-11-17 17:05:35+00:00	Duke Johnson	Browns will get 2020 third-round pick in Duke Johnson trade	The Texans acquired running back Duke Johnson in a trade with the Browns this summer and the compensation was conditional on Johnson's roster status over the course of the season. The Browns would have received a 2020 fourth-round pick if Johnson was active f…	dd
8	2019-11-18 17:00:49+00:00	Duke Johnson	Texans built to win now, which makes Baltimore blowout troubling	The flurry of offseason moves were designed to get Houston over the first-round hump. But the Texans appear to be no closer to title contention.	d
9	2019-11-03 17:44:49+00:00	Duke Johnson	Deshaun Watson handles the pressure with ease in Texansâ victory	Texans QB Deshaun Watson made all the right decisions, throwing for two TDs in the Texans' easy victory over the Jaguars in London.	dd
10	2019-11-20 18:00:01+00:00	Duke Johnson	NFL Week 12 Picks: Game Odds, Props, Lines and Over/Under Predictions	It's been an exciting and unpredictable  NFL  season so far, and Week 12 is shaping up to continue that trend...	d
11	2019-12-01 12:30:03+00:00	Duke Johnson	Week 14 NFL Picks: Odds Predictions and Top Prop Bets for Full Schedule	On Thursday, the New Orleans Saints clinched the NFC South title with a win over the Atlanta Falcons. The New England Patriots and San Francisco 49ers can join them as playoff certainties ...	uu
12	2019-11-14 00:00:00+00:00	Duke Johnson	Fantasy Football Sleeper Running Backs to Start in Week 11	Need help setting your fantasy football lineup? Here are some of the top sleeper running back options for Week 11	dd
13	2019-11-19 07:00:00+00:00	Duke Johnson	Canes in the NFL: Week 11 highlights	CaneSport is tracking the progress week-by-week of the top Hurricanes in the NFL. Here are this week's pro Canes.	d
14	2019-11-13 16:02:00+00:00	Duke Johnson	Start 'Em, Sit 'Em Week 11: Running backs - NFL.com	Start 'Em, Sit 'Em Week 11: Running backs NFL.com Fantasy Football Start/Sit: Week 11 FantasyPros 2019 Week 11 Expert Fantasy Football DST Rankings yahoo.com Start 'Em, Sit 'Em Week 11: Quarterbacks NFL.com Shadow Report - Key WR/CB battles for Week 11 ESPN V…	dd
15	2019-11-03 22:42:00+00:00	Duke Johnson	NFL Week 9 grades: Texans get an 'A' for London win, Jets get an 'F' for ugly loss to Dolphins - CBSSports.com	NFL Week 9 grades: Texans get an 'A' for London win, Jets get an 'F' for ugly loss to Dolphins CBSSports.com What we learned from Sunday's Week 9 games NFL.com Deshaun Watson Says Popeyes Spicy Chicken Sandwich Healed His Eye Complex Traveling Texans taking o…	dd
16	2019-12-01 14:15:34+00:00	Duke Johnson	NFL Rumors: Texans not interested in hiring Patriots executive Nick Caserio after the season	The Houston Texans and New England Patriots squared off in a battle over Nick Caserio last offseason. But according to the latest rumors, the Texans aren't interested in hiring Caserio this offseason once his contract expires.	uu
17	2019-11-06 17:03:02+00:00	Duke Johnson	Week 10 Start 'Em & Sit 'Em: Running backs	If it seems like you can't trust half the backfields in the NFL in Week 10, well you're not wrong. Jamey Eisenberg helps you sort through it all with his start and sit calls for this week.	dd
18	2019-11-03 17:45:05+00:00	Duke Johnson	No looking back: Watson on point as Texans top Jags 26-3	No looking back: Watson on point as Texans top Jags 26-3	dd
19	2019-11-16 19:13:15+00:00	Duke Johnson	Texans won't have Will Fuller available for third straight game, but offense has overcome his absence before	Fuller has missed the past two games due to a hamstring injury	dd
20	2019-12-01 14:00:29+00:00	Duke Johnson	Texans reportedly plan to continue into 2020 season and beyond without a GM	The front office structure is status quo in Houston	uu
21	2019-11-03 20:00:00+00:00	Duke Johnson	Creech: A successful business trip for Texans - Houston Chronicle	<p>Houston avoided all the hoopla of the London scene and came back with a 26-3 win over the Jaguars</p>	dd
22	2019-11-03 17:53:59+00:00	Duke Johnson	No looking back: Watson on point as Texans top Jags 26-3	Deshaun Watson's most impressive throw Sunday went backward - a flip under pressure to running back Carlos Hyde, whose 7-yard gain set up Houston's first TD in a 26-3 runaway over the Jacksonville Jaguars.  The rugby-style pitch was spot-on perfect for a game…	dd
23	2019-11-21 07:11:04+00:00	Duke Johnson	Week 12 Fantasy Football Forecast (TNF)	Texans (24 projected points, -3.5 point spread) vs. IND Forecast: Deshaun Watson QB1, Carlos Hyde RB3, Duke Johnson RB3, DeAndre Hopkins WR1, Will Fuller (questionable) WR3/4, Kenny Stills WR4, Darren Fells TE2, Jordan Akins TE3 The Colts zone defense, in the…	d
24	2019-12-02 01:16:07+00:00	Duke Johnson	Texans turn tables on trick play: It's DeAndre to Deshaun for TD	Deshaun Watson gets on the other end of a passing touchdown as the Texans cross up the Patriots defense on a fourth-quarter score.	uu
25	2019-11-04 01:47:45+00:00	Duke Johnson	NFL Week 9 grades: Texans get an 'A' for London win, Packers and Jets both get an 'F' for ugly losses	Here are the Week 9 grades for every team that play on Sunday and Monday	dd
26	2019-11-17 14:44:18+00:00	Duke Johnson	Week 11 NFL picks, best bets from a legendary expert: This three-way football parlay would pay out 6-1	Hammerin' Hank Goldberg just locked in his top Week 11 NFL parlay.	dd
27	2019-11-03 17:35:40+00:00	Duke Johnson	Deshaun Watson, Texans Dominate Gardner Minshew, Jaguars in London	London has become the Jacksonville Jaguars' home away from home, as the franchise has played in London for seven straight seasons.   Unfortunately, that has not translated to any type of home-field advantage...	dd
28	2019-11-03 21:45:13+00:00	Duke Johnson	NFL Scores Week 9: Top Fantasy Stars, Results and Latest Team Stats	Minshew Mania may be over. Jacksonville Jaguars rookie quarterback Gardner Minshew stumbled in London on Sunday, completing just 27 of 47 pass attempts for 309 yards and four turnovers...	dd
29	2019-11-04 04:41:35+00:00	Duke Johnson	NFL Week 9 grades: Texans earn an 'A' for London win, Patriots get a 'D' for blowout loss	Here are the Week 9 grades for every team that play on Sunday and Monday	dd
30	2019-11-10 12:48:53+00:00	Duke Johnson	Browns' Kareem Hunt in line for considerable role in return to action vs. Bills	Hunt is finished serving an eight-game suspension for off-field behavior and ready to make his Browns debut	dd
